PacketCounter;UTC_Nano;UTC_Year;UTC_Month;UTC_Day;UTC_Hour;UTC_Minute;UTC_Second;UTC_Valid;Mag_X;Mag_Y;Mag_Z;Roll;Pitch;Yaw
00128;;;;;;;;;-0.076929;0.340210;-0.857725;-0.749008;-0.327038;-0.956215
00129;;;;;;;;;-0.074769;0.342410;-0.855656;-0.748310;-0.326385;-0.958139
00130;;;;;;;;;-0.074766;0.342415;-0.862003;-0.747884;-0.326274;-0.964155
00131;;;;;;;;;-0.074606;0.338083;-0.853454;-0.747159;-0.325136;-0.967782
00132;;;;;;;;;-0.079174;0.340168;-0.853491;-0.747020;-0.325352;-0.971536
00133;;;;;;;;;-0.074766;0.342415;-0.862003;-0.746353;-0.324833;-0.975125
00134;;;;;;;;;-0.072691;0.346776;-0.855747;-0.746010;-0.323478;-0.980660
00135;;;;;;;;;-0.079173;0.340169;-0.855607;-0.746164;-0.323140;-0.982895
00136;;;;;;;;;-0.075014;0.348901;-0.857903;-0.745774;-0.323010;-0.985914
00137;;;;;;;;;-0.079172;0.340171;-0.857722;-0.745942;-0.323010;-0.991657
00138;;;;;;;;;-0.076846;0.338048;-0.859797;-0.746445;-0.322790;-0.994993
00139;;;;;;;;;-0.079336;0.344495;-0.855694;-0.747153;-0.321634;-0.999636
00140;;;;;;;;;-0.072608;0.344614;-0.857818;-0.747302;-0.320220;-1.002795
00141;;;;;;;;;-0.074687;0.340249;-0.857728;-0.747321;-0.320962;-1.007469
00142;;;;;;;;;-0.074934;0.346735;-0.853628;-0.746732;-0.321427;-1.009769
00143;;;;;;;;;-0.074685;0.340252;-0.861959;-0.746384;-0.320806;-1.013682
00144;;;;;;;;;-0.074686;0.340250;-0.859844;-0.747508;-0.321173;-1.017461
00145;;;;;;;;;-0.070202;0.340326;-0.855619;-0.747699;-0.321496;-1.020921
00146;;;;;;;;;-0.077011;0.342373;-0.857769;-0.747997;-0.320747;-1.024952
00147;;;;;;;;;-0.077092;0.344537;-0.859928;-0.748160;-0.321102;-1.027217
00148;;;;;;;;;-0.077011;0.342373;-0.857769;-0.747376;-0.320404;-1.033021
00149;;;;;;;;;-0.072607;0.344616;-0.859934;-0.746868;-0.320443;-1.038288
00150;;;;;;;;;-0.072525;0.342453;-0.859890;-0.747468;-0.319755;-1.041730
00151;;;;;;;;;-0.074603;0.338089;-0.861915;-0.747742;-0.320138;-1.043899
00152;;;;;;;;;-0.074849;0.344577;-0.859931;-0.748472;-0.319615;-1.046674
00153;;;;;;;;;-0.074768;0.342412;-0.857772;-0.747910;-0.318653;-1.050592
00154;;;;;;;;;-0.074768;0.342412;-0.857772;-0.747747;-0.318577;-1.054615
00155;;;;;;;;;-0.074605;0.338084;-0.855569;-0.747731;-0.317906;-1.058771
00156;;;;;;;;;-0.072688;0.346780;-0.862093;-0.748114;-0.317666;-1.062162
00157;;;;;;;;;-0.079253;0.342334;-0.857766;-0.747758;-0.317337;-1.066505
00158;;;;;;;;;-0.072527;0.342449;-0.855659;-0.747332;-0.317179;-1.069414
00159;;;;;;;;;-0.074769;0.342410;-0.855656;-0.747128;-0.318209;-1.076067
00160;;;;;;;;;-0.074766;0.342415;-0.862003;-0.745912;-0.318318;-1.077449
00161;;;;;;;;;-0.074767;0.342413;-0.859887;-0.746204;-0.318291;-1.081146
00162;;;;;;;;;-0.072527;0.342449;-0.855659;-0.745692;-0.318144;-1.084937
00163;;;;;;;;;-0.072609;0.344613;-0.855703;-0.744719;-0.317741;-1.089024
00164;;;;;;;;;-0.074687;0.340249;-0.857728;-0.744455;-0.316912;-1.092104
00165;;;;;;;;;-0.079172;0.340171;-0.857722;-0.744651;-0.317672;-1.096099
00166;;;;;;;;;-0.068207;0.346852;-0.853637;-0.744381;-0.317820;-1.101117
00167;;;;;;;;;-0.074687;0.340249;-0.857728;-0.744562;-0.317520;-1.106482
